,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
Total,,,,1688127,658239,136036,181722,180618,159863,748332,146802,201124,200867,199539,281556,169755,111801
,Total,,,359,-,-,-,-,-,358,82,89,86,101,$,$,-
,תנועה,Total,,359,-,-,-,-,-,358,82,89,86,101,$,$,-
,תנועה,חסימת מעבר,,266,-,-,-,-,-,266,59,64,60,83,-,-,-
,תנועה,רכב חונה באיסור,,93,-,-,-,-,-,92,23,25,26,18,$,$,-
(שגו'ר (בענה-דיר-מגד,Total,,,227,91,18,24,27,22,86,12,20,26,28,50,30,20
(שגו'ר (בענה-דיר-מגד,תנועה,Total,,81,20,5,$,7,5,39,$,7,13,17,22,14,8
(שגו'ר (בענה-דיר-מגד,תנועה,הסגת גבול - חניה פרטית,,5,-,-,-,-,-,$,-,$,$,$,$,$,-
(שגו'ר (בענה-דיר-מגד,תנועה,חסימת מעבר,,62,18,$,$,6,5,30,$,5,11,13,14,8,6
(שגו'ר (בענה-דיר-מגד,תנועה,רכב חונה באיסור,,14,$,$,-,$,-,5,$,$,$,$,7,5,$
(שגו'ר (בענה-דיר-מגד,איכות חיים,Total,,65,32,$,15,8,6,18,$,7,5,5,15,9,6
(שגו'ר (בענה-דיר-מגד,איכות חיים,גרימת רעש מבית,,11,$,$,-,$,$,$,-,$,-,$,$,-,$
(שגו'ר (בענה-דיר-מגד,איכות חיים,גרימת רעש מבית תפילה,,7,-,-,-,-,-,-,-,-,-,-,7,6,$
(שגו'ר (בענה-דיר-מגד,איכות חיים,גרימת רעש ממקום ציבורי,,45,27,$,15,6,$,13,$,$,5,$,5,$,$
(שגו'ר (בענה-דיר-מגד,איכות חיים,גרימת רעש מעסק,,$,$,-,-,-,$,$,-,-,-,$,-,-,-
