מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
משמר הגבול,1,אדרת,ראשון,1
משמר הגבול,1,איתנים,רביעי,1
משמר הגבול,1,אשתאול,רביעי,1
משמר הגבול,1,זכריה,רביעי,2
משמר הגבול,1,לא ידוע,רביעי,1
משמר הגבול,1,מבוא ביתר,שבת,1
משמר הגבול,1,מבוא ביתר,שישי,1
משמר הגבול,1,צור הדסה,חמישי,2
משמר הגבול,1,צלפון,חמישי,1
משמר הגבול,1,Total,,11
משמר הגבול,2,זכריה,חמישי,1
משמר הגבול,2,ישעי,רביעי,1
משמר הגבול,2,Total,,2
משמר הגבול,3,איתנים,רביעי,1
משמר הגבול,3,מבוא ביתר,רביעי,1
משמר הגבול,3,נווה מיכאל,שני,1
משמר הגבול,3,Total,,3
משמר הגבול,Total,,,16
מחוז תא,1,אור יהודה,ראשון,3
מחוז תא,1,אור יהודה,שבת,3
מחוז תא,1,אור יהודה,שישי,2
מחוז תא,1,אור יהודה,חמישי,2
מחוז תא,1,אור יהודה,רביעי,3
מחוז תא,1,אור יהודה,שלישי,4
מחוז תא,1,אור יהודה,שני,3
מחוז תא,1,אזור,חמישי,1
מחוז תא,1,אזור,שני,1
מחוז תא,1,בני ברק,ראשון,6
מחוז תא,1,בני ברק,שבת,3
מחוז תא,1,בני ברק,שישי,8
מחוז תא,1,בני ברק,חמישי,12
מחוז תא,1,בני ברק,רביעי,16
מחוז תא,1,בני ברק,שלישי,7
מחוז תא,1,בני ברק,שני,2
מחוז תא,1,בת ים,ראשון,10
מחוז תא,1,בת ים,שבת,19
מחוז תא,1,בת ים,שישי,25
מחוז תא,1,בת ים,חמישי,21
מחוז תא,1,בת ים,רביעי,13
מחוז תא,1,בת ים,שלישי,10
מחוז תא,1,בת ים,שני,11
מחוז תא,1,גבעת שמואל,ראשון,1
מחוז תא,1,גבעת שמואל,שישי,1
מחוז תא,1,גבעת שמואל,רביעי,4
מחוז תא,1,גבעת שמואל,שלישי,3
מחוז תא,1,גבעת שמואל,שני,1
מחוז תא,1,גבעתיים,ראשון,2
מחוז תא,1,גבעתיים,שבת,1
מחוז תא,1,גבעתיים,שישי,2
מחוז תא,1,גבעתיים,חמישי,2
מחוז תא,1,גבעתיים,רביעי,2
מחוז תא,1,גבעתיים,שלישי,1
מחוז תא,1,גבעתיים,שני,1
מחוז תא,1,גני תקווה,ראשון,1
מחוז תא,1,גני תקווה,שבת,3
מחוז תא,1,גני תקווה,שישי,1
מחוז תא,1,גני תקווה,רביעי,1
מחוז תא,1,גני תקווה,שלישי,1
מחוז תא,1,הרצליה,ראשון,1
מחוז תא,1,הרצליה,שבת,7
מחוז תא,1,הרצליה,שישי,8
מחוז תא,1,הרצליה,חמישי,3
מחוז תא,1,הרצליה,רביעי,3
מחוז תא,1,הרצליה,שלישי,4
מחוז תא,1,הרצליה,שני,1
מחוז תא,1,חולון,ראשון,11
מחוז תא,1,חולון,שבת,11
מחוז תא,1,חולון,שישי,23
מחוז תא,1,חולון,חמישי,5
מחוז תא,1,חולון,רביעי,14
מחוז תא,1,חולון,שלישי,7
מחוז תא,1,חולון,שני,11
מחוז תא,1,יהוד מונוסון,ראשון,1
מחוז תא,1,יהוד מונוסון,שישי,3
מחוז תא,1,יהוד מונוסון,חמישי,1
מחוז תא,1,יהוד מונוסון,שלישי,1
מחוז תא,1,יהוד מונוסון,שני,1
מחוז תא,1,לא ידוע,ראשון,1
מחוז תא,1,לא ידוע,שישי,2
מחוז תא,1,לא ידוע,שני,1
מחוז תא,1,סביון,שישי,1
מחוז תא,1,קרית אונו,ראשון,3
מחוז תא,1,קרית אונו,שבת,1
מחוז תא,1,קרית אונו,שישי,1
מחוז תא,1,קרית אונו,חמישי,3
מחוז תא,1,קרית אונו,רביעי,1
מחוז תא,1,קרית אונו,שני,2
מחוז תא,1,רמת גן,ראשון,4
מחוז תא,1,רמת גן,שבת,13
מחוז תא,1,רמת גן,שישי,12
מחוז תא,1,רמת גן,חמישי,11
מחוז תא,1,רמת גן,רביעי,9
מחוז תא,1,רמת גן,שלישי,6
מחוז תא,1,רמת גן,שני,4
מחוז תא,1,רמת השרון,ראשון,2
מחוז תא,1,רמת השרון,שבת,2
מחוז תא,1,רמת השרון,שישי,3
מחוז תא,1,רמת השרון,חמישי,7
מחוז תא,1,רמת השרון,רביעי,2
מחוז תא,1,רמת השרון,שלישי,1
מחוז תא,1,רמת השרון,שני,1
מחוז תא,1,תל אביב -יפו,ראשון,33
מחוז תא,1,תל אביב -יפו,שבת,55
מחוז תא,1,תל אביב -יפו,שישי,57
מחוז תא,1,תל אביב -יפו,חמישי,39
מחוז תא,1,תל אביב -יפו,רביעי,49
מחוז תא,1,תל אביב -יפו,שלישי,37
מחוז תא,1,תל אביב -יפו,שני,33
מחוז תא,1,Total,,725
מחוז תא,2,אור יהודה,ראשון,4
מחוז תא,2,אור יהודה,שבת,4
מחוז תא,2,אור יהודה,שישי,9
מחוז תא,2,אור יהודה,חמישי,2
מחוז תא,2,אור יהודה,רביעי,3
מחוז תא,2,אור יהודה,שלישי,2
מחוז תא,2,אור יהודה,שני,5
מחוז תא,2,אזור,ראשון,3
מחוז תא,2,אזור,שבת,1
מחוז תא,2,אזור,שישי,3
מחוז תא,2,בני ברק,ראשון,6
מחוז תא,2,בני ברק,שבת,5
מחוז תא,2,בני ברק,שישי,8
מחוז תא,2,בני ברק,חמישי,11
מחוז תא,2,בני ברק,רביעי,6
מחוז תא,2,בני ברק,שלישי,8
מחוז תא,2,בני ברק,שני,5
מחוז תא,2,בת ים,ראשון,10
מחוז תא,2,בת ים,שבת,18
מחוז תא,2,בת ים,שישי,16
מחוז תא,2,בת ים,חמישי,14
מחוז תא,2,בת ים,רביעי,15
מחוז תא,2,בת ים,שלישי,5
מחוז תא,2,בת ים,שני,7
מחוז תא,2,גבעת שמואל,שלישי,1
מחוז תא,2,גבעת שמואל,שני,2
מחוז תא,2,גבעתיים,ראשון,3
מחוז תא,2,גבעתיים,שבת,3
מחוז תא,2,גבעתיים,שישי,3
מחוז תא,2,גבעתיים,רביעי,2
מחוז תא,2,גבעתיים,שלישי,1
מחוז תא,2,גבעתיים,שני,5
מחוז תא,2,גני תקווה,שישי,1
מחוז תא,2,גני תקווה,חמישי,2
מחוז תא,2,הרצליה,ראשון,3
מחוז תא,2,הרצליה,שבת,5
