מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
משמר הגבול,3,גבעת ישעיהו,חמישי,1
משמר הגבול,3,נווה מיכאל,שלישי,1
משמר הגבול,3,עגור,שישי,1
משמר הגבול,3,שורש,חמישי,1
משמר הגבול,3,Total,,4
משמר הגבול,4,אביעזר,חמישי,1
משמר הגבול,4,אדרת,שישי,1
משמר הגבול,4,בקוע,חמישי,1
משמר הגבול,4,בקוע,ראשון,1
משמר הגבול,4,גבעת יערים,ראשון,1
משמר הגבול,4,זכריה,רביעי,1
משמר הגבול,4,טל שחר,רביעי,1
משמר הגבול,4,טל שחר,שלישי,1
משמר הגבול,4,ישעי,ראשון,1
משמר הגבול,4,ישעי,שישי,1
משמר הגבול,4,מחסיה,שלישי,1
משמר הגבול,4,מחסיה,ראשון,1
משמר הגבול,4,נווה מיכאל,ראשון,1
משמר הגבול,4,נחושה,שני,1
משמר הגבול,4,צור הדסה,חמישי,2
משמר הגבול,4,צור הדסה,שלישי,1
משמר הגבול,4,צלפון,שישי,1
משמר הגבול,4,שדות מיכה,רביעי,1
משמר הגבול,4,Total,,19
משמר הגבול,Total,,,23
מחוז תא,3,אור יהודה,חמישי,2
מחוז תא,3,אור יהודה,רביעי,1
מחוז תא,3,אור יהודה,שני,1
מחוז תא,3,אור יהודה,ראשון,3
מחוז תא,3,אור יהודה,שבת,3
מחוז תא,3,אזור,חמישי,1
מחוז תא,3,אזור,שלישי,1
מחוז תא,3,אזור,שני,2
מחוז תא,3,אזור,ראשון,1
מחוז תא,3,אזור,שישי,1
מחוז תא,3,בני ברק,חמישי,1
מחוז תא,3,בני ברק,רביעי,1
מחוז תא,3,בני ברק,שלישי,3
מחוז תא,3,בני ברק,שני,3
מחוז תא,3,בני ברק,ראשון,4
מחוז תא,3,בני ברק,שבת,3
מחוז תא,3,בני ברק,שישי,1
מחוז תא,3,בת ים,חמישי,3
מחוז תא,3,בת ים,רביעי,8
מחוז תא,3,בת ים,שלישי,16
מחוז תא,3,בת ים,שני,10
מחוז תא,3,בת ים,ראשון,12
מחוז תא,3,בת ים,שבת,9
מחוז תא,3,בת ים,שישי,7
מחוז תא,3,גבעת שמואל,רביעי,1
מחוז תא,3,גבעת שמואל,שבת,1
מחוז תא,3,גבעתיים,חמישי,3
מחוז תא,3,גבעתיים,שלישי,1
מחוז תא,3,גבעתיים,שני,3
מחוז תא,3,גבעתיים,ראשון,2
מחוז תא,3,גבעתיים,שבת,2
מחוז תא,3,גבעתיים,שישי,3
מחוז תא,3,גני תקווה,שלישי,1
מחוז תא,3,גני תקווה,ראשון,1
מחוז תא,3,הרצליה,חמישי,2
מחוז תא,3,הרצליה,רביעי,2
מחוז תא,3,הרצליה,שלישי,4
מחוז תא,3,הרצליה,שני,3
מחוז תא,3,הרצליה,ראשון,2
מחוז תא,3,הרצליה,שבת,5
מחוז תא,3,חולון,חמישי,6
מחוז תא,3,חולון,רביעי,5
מחוז תא,3,חולון,שלישי,12
מחוז תא,3,חולון,שני,7
מחוז תא,3,חולון,ראשון,12
מחוז תא,3,חולון,שבת,16
מחוז תא,3,חולון,שישי,6
מחוז תא,3,יהוד מונוסון,שני,3
מחוז תא,3,יהוד מונוסון,ראשון,1
מחוז תא,3,יהוד מונוסון,שישי,1
מחוז תא,3,כפר שמריהו,שני,1
מחוז תא,3,קרית אונו,חמישי,1
מחוז תא,3,קרית אונו,רביעי,1
מחוז תא,3,קרית אונו,ראשון,4
מחוז תא,3,קרית אונו,שבת,1
מחוז תא,3,קרית אונו,שישי,2
מחוז תא,3,רמת גן,חמישי,4
מחוז תא,3,רמת גן,רביעי,5
מחוז תא,3,רמת גן,שלישי,4
מחוז תא,3,רמת גן,שני,5
מחוז תא,3,רמת גן,ראשון,5
מחוז תא,3,רמת גן,שבת,8
מחוז תא,3,רמת גן,שישי,6
מחוז תא,3,רמת השרון,ראשון,1
מחוז תא,3,רמת השרון,שישי,1
